city_st,year,pop,avg_m
"Attleboro, MA",2003,42793.08340085142,0.012645142857142858
"Attleboro, MA",2004,42990.44160097305,0.007227
"Attleboro, MA",2005,43162.86833434693,0.0107775
"Attleboro, MA",2006,43308.70560097305,0.005892173913043478
"Attleboro, MA",2007,43426.29540085142,0.004665066666666666
"Attleboro, MA",2008,43513.97973398203,0.0029054117647058825
"Auburn, ME",1990,24309,0
"Auburn, ME",1991,24318.362695033233,0
"Auburn, ME",1992,24283.449845769148,0.00324
"Auburn, ME",1993,24210.867890066467,0
"Auburn, ME",1994,24107.22326578392,0.00216
"Auburn, ME",1996,23833.171762914117,0.02306
"Auburn, ME",1997,23675.977760044312,0.00216
"Auburn, ME",1998,23514.14684002954,0.0015148571428571429
"Auburn, ME",1999,23354.28544072853,0
"Auburn, ME",2000,23203,0.004380727272727272
"Auburn, ME",2001,23066.33671605956,0
"Auburn, ME",2002,22948.100828550327,0
"Auburn, ME",2003,22851.537337472306,0.00405
"Auburn, ME",2004,22779.89124282549,0.004799333333333333
"Auburn, ME",2005,22736.407544609887,0.021058857142857143
"Auburn, ME",2006,22724.33124282549,6.171428571428571e-4
"Auburn, ME",2007,22746.907337472305,0.005381
"Auburn, ME",2008,22807.38082855033,7.71e-4
"Auburn, WA",2002,43644.07523662248,0
"Audubon, NJ",2008,8944.67584683358,0
"Augusta, ME",1992,20868.70879786432,0.00324
"Augusta, ME",1993,20593.236043566383,0
"Augusta, ME",1994,20297.333474212403,0.00216
"Augusta, ME",1995,19989.34230512538,0.015118666666666666
"Augusta, ME",1996,19677.60375162833,0.02306
"Augusta, ME",1997,19370.459029044257,0.00216
"Augusta, ME",1998,19076.24935269617,0.00144
"Augusta, ME",1999,18803.31593790708,0
"Augusta, ME",2000,18560,0.00654
"Augusta, ME",2001,18354.18788507743,0
"Augusta, ME",2002,18191.94646235988,0
"Augusta, ME",2003,18078.88773184734,0
"Augusta, ME",2004,18020.623693539816,0
"Augusta, ME",2005,18022.766347437308,0.026074399999999998
"Augusta, ME",2006,18090.927693539816,4.32e-4
"Augusta, ME",2007,18230.71973184734,0.0021346666666666667
"Augusta, ME",2008,18447.754462359877,0
"Avalon, CA",2001,3145.6602479289395,0.01728
"Avalon, CA",2002,3170.651996318115,0.0160784
"Avalon, CA",2009,3613.5122479289394,0.066
"Aventura, FL",2000,25267,0.008287142857142858
