oceans,regions,sub_regions,sampling_method,measurement,unit,density_range,density_class,date,season,year,density_marker_size,city_st,pop,pop_rescaled,geometry,lon,lat
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,40-200,High,2019-12-31,Winter,2019,8.25,"Charleston, SC",120083,1.43871661402552,"c(-79.9348, 32.8026)",-79.9348,32.8026
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2019-12-24,Winter,2019,6.5,"Charleston, SC",120083,1.43871661402552,"c(-79.8874, 32.6862)",-79.8874,32.6862
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,>200,Very High,2020-07-31,Summer,2020,10,"Charleston, SC",120083,1.43871661402552,"c(-79.9547, 32.8623)",-79.9547,32.8623
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2020-05-28,Spring,2020,6.5,"Charleston, SC",120083,1.43871661402552,"c(-79.9281, 32.7866)",-79.9281,32.7866
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,0,Very Low,2019-12-19,Winter,2019,3,"Charleston, SC",120083,1.43871661402552,"c(-79.959, 32.7861)",-79.959,32.7861
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,40-200,High,2020-08-21,Summer,2020,8.25,"Charleston, SC",120083,1.43871661402552,"c(-79.9338, 32.802)",-79.9338,32.802
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2022-04-07,Spring,2022,6.5,"Charleston, SC",120083,1.43871661402552,"c(-79.9327, 32.8029)",-79.93270000000001,32.8029
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2019-12-06,Winter,2019,6.5,"Charleston, SC",120083,1.43871661402552,"c(-79.905, 32.8011)",-79.905,32.8011
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,40-200,High,2021-11-16,Fall,2021,8.25,"Charleston, SC",120083,1.43871661402552,"c(-79.966, 32.8704)",-79.966,32.8704
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2020-01-30,Winter,2020,6.5,"Charleston, SC",120083,1.43871661402552,"c(-79.9602, 32.7872)",-79.9602,32.7872
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,40-200,High,2022-04-08,Spring,2022,8.25,"Charleston, SC",120083,1.43871661402552,"c(-79.9613, 32.7879)",-79.9613,32.7879
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,40-200,High,2021-11-04,Fall,2021,8.25,"Charleston, SC",120083,1.43871661402552,"c(-79.9322, 32.8028)",-79.9322,32.8028
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2019-11-13,Fall,2019,6.5,"Charleston, SC",120083,1.43871661402552,"c(-79.9014, 32.751)",-79.9014,32.751
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,40-200,High,2019-12-24,Winter,2019,8.25,"Charleston, SC",120083,1.43871661402552,"c(-79.8507, 32.754)",-79.8507,32.754
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,40-200,High,2019-12-31,Winter,2019,8.25,"Charleston, SC",120083,1.43871661402552,"c(-79.9029, 32.7507)",-79.9029,32.75070000000001
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,40-200,High,2020-09-13,Fall,2020,8.25,"Charleston, SC",120083,1.43871661402552,"c(-79.8479, 32.7546)",-79.8479,32.75460000000001
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,40-200,High,2021-12-14,Winter,2021,8.25,"Charleston, SC",120083,1.43871661402552,"c(-79.966, 32.8702)",-79.966,32.8702
