avg_m,pop,city_st,log_p,log_m
6.171428571428571e-4,22724.33124282549,"Auburn, ME",4.35651022218588,1.0002679390675637
0.005381,22746.907337472305,"Auburn, ME",4.356941450505643,1.0023306735386386
7.71e-4,22807.38082855033,"Auburn, ME",4.358094455720081,1.0003347120306338
0,43644.07523662248,"Auburn, WA",4.639935246478648,1
0,8944.67584683358,"Audubon, NJ",3.951613157140681,1
0.00324,20868.70879786432,"Augusta, ME",4.3195163892493085,1.0014048395083297
0,20593.236043566383,"Augusta, ME",4.313745686158069,1
0.00216,20297.333474212403,"Augusta, ME",4.307460383102192,1.0009370644152802
0.015118666666666666,19989.34230512538,"Augusta, ME",4.300820230834189,1.0065168139399945
0.02306,19677.60375162833,"Augusta, ME",4.29399428085981,1.0099011047823356
0.00216,19370.459029044257,"Augusta, ME",4.2871623323556385,1.0009370644152802
0.00144,19076.24935269617,"Augusta, ME",4.280515756266271,1.000624934209221
0,18803.31593790708,"Augusta, ME",4.274257539311418,1
0.00654,18560,"Augusta, ME",4.268601370739663,1.0028310384736485
0,18354.18788507743,"Augusta, ME",4.26375883433359,1
0,18191.94646235988,"Augusta, ME",4.259903041488782,1
0,18078.88773184734,"Augusta, ME",4.257195729369954,1
0,18020.623693539816,"Augusta, ME",4.25579391701914,1
0.026074399999999998,18022.766347437308,"Augusta, ME",4.255845548740386,1.0111788523332845
4.32e-4,18090.927693539816,"Augusta, ME",4.257484843369735,1.000187574702963
0.0021346666666666667,18230.71973184734,"Augusta, ME",4.260827636006911,1.000926085863016
0,18447.754462359877,"Augusta, ME",4.265967050799485,1
0.01728,3145.6602479289395,"Avalon, CA",3.4978498536805613,1.007440506234679
0.0160784,3170.651996318115,"Avalon, CA",3.5012855290963905,1.0069272191425453
0.066,3613.5122479289394,"Avalon, CA",3.5580497007108596,1.0277572046905534
0.008287142857142858,25267,"Aventura, FL",4.40257086822233,1.0035842293315613
0.005218545454545455,26316.5,"Aventura, FL",4.4202446316071065,1.0022604923700773
0.00216,27366,"Aventura, FL",4.437227192190728,1.0009370644152802
0.00216,28415.5,"Aventura, FL",4.453570585755691,1.0009370644152802
0.006290666666666667,29465,"Aventura, FL",4.469321184515247,1.002723444632628
0.011255428571428572,30514.5,"Aventura, FL",4.484520490316271,1.0048608659847669
0.0038937777777777777,31564,"Aventura, FL",4.499205793663372,1.0016877624449723
0.0028280000000000002,32613.5,"Aventura, FL",4.513410724912609,1.001226451408764
8.64e-4,33663,"Aventura, FL",4.527165718137626,1.0003750684261266
0.0054,12314.237515846591,"Babylon, NY",4.090442792206533,1.0023388808920566
0,12353.958913429522,"Babylon, NY",4.0918413054887655,1
0.0054,12439.593168084844,"Babylon, NY",4.0948410880304085,1.0023388808920566
0.0036,12559.48173930201,"Babylon, NY",4.0990062964639495,1.0015606526425729
0.001344,12388.13018621285,"Babylon, NY",4.093040816578774,1.0005832998938933
0,20851.4,"Bainbridge Island, WA",4.3191560471645625,1
0.002778,2947.24,"Bal Harbour, FL",3.4695628341507585,1.0012047973809044
0.0216,3045,"Bal Harbour, FL",3.4837298990000236,1.009280884255359
0.0025919999999999997,3083,"Bal Harbour, FL",3.4891143693789193,1.0011242349172538
0.00336175,3121.64,"Bal Harbour, FL",3.4945219185800305,1.0014575409008575
0.0018116923076923076,3159.68,"Bal Harbour, FL",3.499780528339065,1.000786096104822
0.003991076923076923,3195.88,"Bal Harbour, FL",3.5047263346401794,1.0017298529879946
0.007868285714285715,3229,"Bal Harbour, FL",3.509202522331103,1.0034037796044344
0.012497846153846153,3257.8,"Bal Harbour, FL",3.5130577076386054,1.0053941080304154
0.004614571428571429,3281.04,"Bal Harbour, FL",3.5161438697315215,1.001999473092023
0.0027145454545454547,3297.48,"Bal Harbour, FL",3.518313855123772,1.0011773148963505
0.011458,3305.88,"Bal Harbour, FL",3.519418435529549,1.0049478537435579
0.008287142857142858,3305,"Bal Harbour, FL",3.519302849235429,1.0035842293315613
0.005218545454545455,3293.6,"Bal Harbour, FL",3.5178026940930205,1.0022604923700773
0.00216,3270.44,"Bal Harbour, FL",3.514738959508944,1.0009370644152802
0.00216,3234.28,"Bal Harbour, FL",3.5099118730086416,1.0009370644152802
0.006290666666666667,3183.88,"Bal Harbour, FL",3.503093073619684,1.002723444632628
0.011255428571428572,3118,"Bal Harbour, FL",3.4940153747571436,1.0048608659847669
0.0038937777777777777,3035.4,"Bal Harbour, FL",3.482358982753715,1.0016877624449723
0.0028280000000000002,2934.84,"Bal Harbour, FL",3.4677323833249063,1.001226451408764
8.64e-4,2815.08,"Bal Harbour, FL",3.449644988206241,1.0003750684261266
0,2959.5220617309965,"Bandon, OR",3.4713683017809083,1
0.00756,33032.5700443863,"Bangor, ME",4.518955511832286,1.003270917734273
0.012971,32702.59582556723,"Bangor, ME",4.514595506829872,1.0055970122701956
0.015118666666666666,32496.079380272,"Bangor, ME",4.511844331254937,1.0065168139399945
0.02306,32276.03658455501,"Bangor, ME",4.5088936544870135,1.0099011047823356
0,31837.851562361855,"Bangor, ME",4.502957394206204,1
0,31640.94914613875,"Bangor, ME",4.500263228218168,1
0,31343.94071155104,"Bangor, ME",4.496167452714758,1
7.2e-4,31260.97459831296,"Bangor, ME",4.495016405867039,1.0003125795118446
0,31259.40189746944,"Bangor, ME",4.494994557199844,1
0.03633733333333333,31353.835309864,"Bangor, ME",4.496304524001334,1.0155011435936243
0,31520.44189746944,"Bangor, ME",4.498606075371826,1
0,31765.74166028576,"Bangor, ME",4.501972671184451,1
0,37189.602156256595,"Barnstable, MA",4.570433210115422,1
0,38157.83769166329,"Barnstable, MA",4.581595137735815,1
0.0340712,40036.32541494607,"Barnstable, MA",4.602465057910009,1.0145504427255663
4.32e-4,40949,"Barnstable, MA",4.612253906096437,1.000187574702963
0.0025405000000000002,41844.00745740816,"Barnstable, MA",4.6216436495923725,1.0011019260016853
0.009997444444444444,42714.71294556267,"Barnstable, MA",4.630587659340906,1.0043202749063256
0.002062702702702703,43552.91241481632,"Barnstable, MA",4.639027173438909,1.0008948977645418
0.004902363636363636,44350.40181552185,"Barnstable, MA",4.646907351137858,1.002123867732797
0.017506105263157896,45098.97709803206,"Barnstable, MA",4.654176321341357,1.0075370237686536
0.01993976470588235,45790.4342126997,"Barnstable, MA",4.660784246080808,1.0085745240871073
0.0084385,46416.56910987754,"Barnstable, MA",4.666682392694438,1.003649417744567
0.004730153846153846,46969.17773991836,"Barnstable, MA",4.671822203600743,1.0020494364513062
0.0011882666666666666,47440.05605317492,"Barnstable, MA",4.676154347998738,1.0005157512919785
0.00512416,47821,"Barnstable, MA",4.679627735117284,1.0022197121767302
0.004125692307692308,48104.11937235423,"Barnstable, MA",4.682191296682706,1.0017880794016185
9.724102564102565e-4,48282.77932862974,"Barnstable, MA",4.683801256399026,1.0004221072110597
0.009636380952380952,48350.65886882653,"Barnstable, MA",4.684411378630373,1.0041649914267972
0.00584336,48301.43699294461,"Barnstable, MA",4.683969042674678,1.0025303533000653
0.007884,48128.79270098397,"Barnstable, MA",4.6824139911389695,1.0034105509003135
0.0047776,47826.40499294461,"Barnstable, MA",4.679676817672753,1.002069944561083
